#{"t_start": 1555826226.702278, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
-346,7997,44750.168851
-393,7997,44797.328219
-413,7997,44863.091284
-214,4378,44888.943078
-61,2157,44901.656736
-31,8055,44969.644872
63,7997,45035.548007
28,8055,45083.233965
-60,8055,45149.473498
-39,1399,45157.787972
186,8056,45224.301006
-135,8055,45290.752192
-139,8055,45338.42468
25,1800,45349.077002
-218,7997,45415.101961
-304,6622,45473.03677
506,2659,45488.718075
-6,7997,45554.902107
-146,2970,45572.349087
-253,7997,45619.551601
-294,7997,45686.154873
-19,1279,45693.687848
-416,7997,45759.749845
-149,5874,45794.365212
-94,2117,45825.889048
-232,7997,45873.725434
65,8055,45941.301729
118,871,45946.467925
135,326,45948.410243
-98,2257,45961.803946
162,1283,45969.449117
153,360,45971.587422
-218,7997,46038.499498
-362,7997,46104.713901
-192,4855,46133.336214
-410,7997,46200.112473
-369,7997,46247.237866
-372,7997,46313.463157
-320,7997,46379.812176
-422,7997,46426.890499
-326,7997,46493.146469
-422,7997,46559.50801
-212,7997,46606.672234
-81,2217,46638.949108
-305,7997,46686.123866
-299,7997,46752.474631
-122,3995,46776.007361
-389,7997,46842.609442
-438,7997,46908.878179
-380,7997,46956.016392
-373,7997,47022.384447
-263,7997,47088.831423
-228,4763,47116.937927
-427,7997,47183.338468
-454,7997,47230.393715
-116,2721,47246.429506
-69,4157,47290.206597
-455,7997,47356.726084
-173,6857,47397.079295
-221,7997,47463.683476
-282,7997,47510.899512
-79,2478,47544.971514
-452,7997,47592.145882
-355,7790,47657.727099
-378,7690,47722.712784
-421,7997,47769.871484
-384,7997,47836.714846
-277,7997,47903.586055
-434,7997,47950.719132
-361,7997,48017.581126
-292,7997,48085.296541
-168,8055,48132.779199
79,2468,48147.362775
-100,8055,48214.681783
72,1965,48226.281608
87,2825,48263.218508
-90,3042,48281.164423
-412,7997,48328.358453
-417,7997,48395.34293
-180,8055,48463.341529
-40,1279,48470.891943
-311,7997,48538.023387
-360,7997,48585.11875
-428,7997,48652.149166
-438,7997,48719.207079
-455,7997,48766.252068
-405,7997,48833.411025
-450,7997,48900.602786
-408,7997,48947.68562
-286,7997,49014.866179
-68,1638,49024.53055
-265,7997,49091.879345
-44,1451,49100.428663
-57,1788,49110.976222
21,476,49113.798701
-114,3824,49136.354514
-75,3487,49177.1118
-247,5730,49210.891728
-366,7997,49278.229869
-371,7997,49325.366408
-356,7997,49392.789456
-450,7997,49460.332396
-451,7997,49507.381115
-422,7997,49574.865439
-316,7997,49642.379364
-425,7997,49689.453851
-240,5417,49741.87061
-455,7997,49809.518055
-455,7997,49856.553179
-166,3906,49900.110502
-268,5369,49931.692957
-339,7997,49999.412582
-332,7997,50046.521015
-378,7997,50114.289758
-295,7997,50182.043438
-452,7997,50229.167551
-104,2011,50241.031854
-94,2851,50278.431977
-277,7997,50325.586322
-294,7625,50391.175502
-234,4923,50420.273462
-385,7997,50488.354363
-292,7997,50556.66971
-404,7997,50603.771301
-447,7997,50672.731669
-361,7997,50740.70735
-350,7997,50787.822078
-426,7997,50855.837704
-417,7997,50924.558073
-430,7997,50971.63836
-325,7997,51039.664968
-342,7997,51107.555212
-435,7997,51154.648515
-451,7997,51222.60214
-455,7997,51290.718965
-259,7997,51337.827311
-380,7997,51405.899661
-292,7108,51468.949015
-251,6520,51507.392446
-148,3768,51551.078287
-392,7997,51598.183414
-306,7997,51666.363431
-372,7997,51734.723434
-286,7997,51781.77161
-299,7997,51850.1504
-364,7997,51919.271331
-353,7997,51966.386308
-186,3973,52011.016021
-152,7997,52058.105055
-237,7997,52126.427568
-19,1379,52134.546022
-419,7997,52202.923326
-417,7997,52249.956661
-306,7997,52318.371222
-452,7997,52386.840185
